Möte,Dagordningspunkt,Brödtext,Förslagställare,Kommun,Organisation(er),Tid,Vem-taggar,Alla taggar,Rankning,Antal röstande
Testmöte (utveckling),Fråga 1: Vilka färdigheter/kunskaper/medvetenhet behöver unga människor få med sig från skolan för att vara digitalt kompetenta som medborgare? Motivera varför.,"Det krävs också till- gång till resurser och metoder som utvecklats för eller anpassats till arbete i en digital miljö. Digitala lärresurser och dess användning i undervisningen kan utveckla undervisningen och bidra till barn och elevers kunskapsinhämt- ning. Genom att undervisning Digitaliseringen ger ökade möjligheter för förskollärare, lärare, förskolechefer, rektorer och huvudmän att skapa och sprida digitala lärresurser. Det är därför viktigt att det utvecklas och finns tillgång till digitala lärresurser av hög pedagogisk, interaktiv, visuell och vetenskaplig kvalitet och som uppfyller ställda tillgänglighetskrav. Det är även centralt att det finns kompetens att avgöra när och hur, samt vilka, digitala verktyg som ska användas i utbildningen.",Henrik Hansson,Ale kommun,,2018-10-23 10:44,,stycke-3 test1-4,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"Specificera digitaliseringspalnen. Definiera mål och begrepp. 
Effekten återfinns både på #kort, #medel och #lång. 
Aktörer #skolverket och #skl",Merkurius VoteIT,Stockholms kommun,,2018-09-20 15:14,,medel lång merkurius-1 skolverket kort skl,6/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"Man måste göra forskningen mer begriplig för den enskilda läraren genom att:
- skapa mer praktiknära forskning
- skapa ""praktik/experimentskolor"" där lärarutbildningen sker och att forskningsrön kan testas i verkligheten  

Tid: Praktnära f - #kort sikt; Exper skolor - #lång sikt
Aktör: #forskare, #huvudman, #regeringen",Uno Fors,Stockholms kommun,Lärosäte,2018-09-20 15:14,,huvudman lång uno-fors-2 regeringen kort forskare,1/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"Gemensam uppföljning. Kvalitetsregister.
Effekt på #lång, #medel och #kort
Aktörer #skolveket, #skl, #forskningsråd, #skolhuvudman",Merkurius VoteIT,Stockholms kommun,,2018-09-20 15:22,,medel lång skolveket merkurius-2 skolhuvudman forskningsråd kort skl,8/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"Skapa incitament för lärare att vilja delta i praktiknära forskning, samt även incitament för skolor att delta i detta.

Incitament i form av:
- skolorna o lärarna själva får föreslå vad som ska forskas om 
- pengar - ""någon"" ger medel till skolorna så att de kan ge lärarna tid att delta i forskningen

Tid: #kort
Aktör: #huvudmännen, #regeringen (kan skapa riktade medel)",Uno Fors,Stockholms kommun,Lärosäte,2018-09-20 15:26,,kort uno-fors-4 regeringen huvudmännen,5/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"Integrera uppföljning av digitalisering i det systematiska lokala kvalitetsarbetet.
Effekt på lokal nivå #kort
Ansvarig #skolhuvudman, #skolinspektionen, #skolverket",Merkurius VoteIT,Stockholms kommun,,2018-09-20 15:27,,kort skolinspektionen skolverket skolhuvudman merkurius-3,4/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"föreslår nya former av publikationskanaler som bättre kan kommunicera till lärare. Dessa kanaler ska också bidra till meritering av forskare.
#kort 
#lång
# lärosätesledningar och forskningsnämnder
#forskare",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:29,,kort saturnus-5 lång forskare,2/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"föreslår en översyn av finansieringssystemet där rapporter och andra publiceringskanaler premieras på samma sätt som scopus, web of science och citeringar.
#kort
#lång
#Regeringen och Utbildningsdepartementet
#lärosätesledningar",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:32,,kort saturnus-6 lång regeringen lärosätesledningar,7/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan det säkerställas att forskning om skolans digitalisering tillgängliggörs och stödjer utveckling av skolväsendets verksamheter?,"föreslår utveckla och främja iterativa forskningsprocesser, praktiknära projekt i samverka med skolhuvudmän. 
#kort
#lång
#Lärosätesledningar premierar forskningsprojekt i samverkan för finansiering av forskning
#Statliga finansiärer",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:38,,kort statliga lång lärosätesledningar saturnus-7,3/8,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"Teckna långsiktiga avtal mellan skolhuvudman och akademi avseende kombinationstjänster, kommundoktorande och praktiknära projekt som bygger på verksamhetens frågesällningar.
#kort 
#lång
#Kommun
#lärosäten
#SKL",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:12,,lång saturnus-1 kort lärosäten skl kommun,3/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"Föreslår att tydliggöra examensmålet digital kompetens i lärarutbildningen och att studenter inom VFU och examensabeten kopplas till forskningsprojekt om digitaliserin av skolväsendet.
#kort
#lång
#Lärarutbildningar
#Kommuner
#Forskare
#Lärare på fältet
#UKÄ som en tematisk utvärdering",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:18,,lång lärarutbildningar lärare saturnus-2 kommuner kort ukä forskare,2/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"Utveckla en modell för ökad likforminghet i uppföljning - kvalitetsregister.
Effekt på #lång, #medel och #kort
Aktörer #skolverket, #skl och #forskningsråd",Merkurius VoteIT,Stockholms kommun,,2018-09-20 15:34,,medel lång merkurius-4 skolverket forskningsråd kort skl,5/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"föreslår att rektorerna får möjlighet att få insikt i forskningsresultat, nätverk, föreläsningar etc
#Kort
Akademin bjuder in",Neptunus VoteIT,Stockholms kommun,,2018-09-20 15:36,,kort neptunus-2,6/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"Bygga gemensamma strukturer för hela FoU-processer.
#kort
#medel
#lång
#regeringen
#skolverket
#SKL
#lärosäten
#skolhuvudmän",Tor Nilsson,Eskilstuna kommun,Lärosäte,2018-09-20 15:37,,medel skolhuvudmän lång skolverket tor_nilsson-1 kort regeringen lärosäten skl,4/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Föreslå samverkansformer mellan akademi och skolväsende avseende forskning om skolväsendets digitalisering som ni tror kan vara framgångsrika?,"Organiserat/strukturerat samarbete mellan universitet och skolhuvudmän. Tex Forskargrupper- lärargrupper, seminarieserie, forskarmedverkan i lokal uppföljning, Learningsstudy, Forskare knuten till skola för lokalt utvecklingsarbete.
Effekt: #medel, #kort, #lång
Aktörer: #skolhuvudman, #RUC, #skl,",Merkurius VoteIT,Stockholms kommun,,2018-09-20 15:38,,medel lång ruc merkurius-5 skolhuvudman kort skl,1/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör skolväsendets digitalisering följas upp på ett sätt så att resultaten även kan användas för att utveckla skolväsendets verksamheter?,"Forskning ska upplevas som relevant av skolväsendet och tydligt bidrar till utveckling.
#kort
#lärosäten
#skolhuvudmän
#Skolverket",Tor Nilsson,Eskilstuna kommun,Lärosäte,2018-09-20 15:42,,kort lärosäten skolhuvudmän skolverket tor_nilsson-2,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"Skapa riktade anslag, dvs #regeringen ska ge direktiv till #Vinnova, #VR, #Skolforskningsinstitutet, #KK-stiftelsen och andra att utlysa medel för  praktiknära forskning

Tid: #kort
Aktör: #regeringen",Uno Fors,Stockholms kommun,Lärosäte,2018-09-20 15:18,,uno-fors-3 vinnova skolforskningsinstitutet vr kk-stiftelsen regeringen kort,1/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"föreslår riktade basanslag till lärosäena som ska användas för att utveckla kunskap till nytta förskolväsendets digitalisering.
#kort sikt
#lång sikt
#Regeringen
#LÄrosätesledningar 
#Forskare",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:23,,lång saturnus-3 regeringen kort lärosätesledningar forskare,4/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"föreslår  omfördelning mellan och inom forskningsråden.
#kort sikt
#lång sikt
#VR
#KK-stiftelsen
# övriga forskningsrå (Formas, forte, RJ mm)",Saturnus VoteIT,Stockholms kommun,,2018-09-20 15:24,,kort saturnus-4 vr lång kk-stiftelsen,6/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"föreslår Medel till skolforskningsinstitutet, öronmärkta resurser samt resurser till Natid och liknande didaktiska resurser, och deras professionsvetenskapliga texter.
#Medel
Staten och teknikföretagen. Procent på försäljning går till forskning.",Neptunus VoteIT,Stockholms kommun,,2018-09-20 15:26,,medel neptunus-1,5/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"Skapa regionala ""forskningshubbar"" där huvudmän i en region kan samverka med lärosäten för att finansiera, välja ut och genomföra praktiknära forskning.

Detta finns redan på vissa platser i landet, men borde utökas till andra regioner och samordnare.

Tid: #kort
Aktör: #huvudmän, #lärosäten, #Vinnova",Uno Fors,Stockholms kommun,Lärosäte,2018-09-20 15:35,,kort lärosäten vinnova huvudmän uno-fors-5,2/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Hur bör forskningen om skolväsendets digitalisering finansieras för att uppnå hög effektivitet och ändamålsenlighet?,"Om likvärdighet ska uppnås krävs ""fria"" medel via basanslag och riktade prioriteringar från statliga finansiärer.
#kort
#regeringen
#forskningsfinansiärer",Tor Nilsson,Eskilstuna kommun,Lärosäte,2018-09-20 15:44,,kort tor_nilsson-3 forskningsfinansiärer regeringen,3/6,19/29
Rådslag 1 | Fokusområde forskning och uppföljning,Vad är viktigast för att forskning om digitalisering ska vara tillgänglig i skolan?,jag föreslår att det skapas större möjligheter till finansierade samarbetsprojekt mellan lärosäten och skolor. Det lilla som finns via t.ex. skolforskningsinstitutet räcker ej alls.,Uno Fors,Stockholms kommun,Lärosäte,2018-09-17 15:49,,uno-fors-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Vad är viktigast för att forskning om digitalisering ska vara tillgänglig i skolan?,"Frågan är knepig och kan tolkas olika beroende på vad som menas med ""tillgänglig"". 
Om man tänker sig att lärare skall vara med i processen och inte enbart i forskningsprodukten, så är det av stor vikt att lärare får TID I SIN TJÄNST för att vara delaktiga. I annat fall måste man diskutera tillgänglighet i förhållande till ett mervärde för lärare (som skall omsätta forskningen).",Lennart Rolandsson,Uppsala kommun,Lärosäte,2018-09-18 10:30,,lero01-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Vad är viktigast för att forskning om digitalisering ska vara tillgänglig i skolan?,"Skapa centrum/organisation som ägnar sig åt att arbeta i gränssnittet mellan forskning och skolan. Vad får (forskningsresultatet xyz) för didaktiska konsekvenser gällande lärande, undervisning och bedömning när digitala resurser används. Till exempel skulle den här typen av organisation kunna producera “forskningsöversikter” (tänker då inte endast textbaserade), intervjua forskare och lärare kring deras erfarenheter. Likt vad skolfi. gör idag med systematiska forskningsöversikter, se http://www.skolfi.se/forskningssammanstallningar/pagaende-systematiska-oversikter/",Anna Åkerfeldt,Stockholms kommun,Lärosäte,2018-09-19 14:40,,anna-akerfeldt-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Vad är viktigast för att forskning om digitalisering ska vara tillgänglig i skolan?,Att forskare publicerar open access så att vetenskapliga artiklar inte blir inlåsta i databaser. Hur publicering i open access tidskrifter ska finansieras är en fråga som diskuteras på SU. Projekt som finansieras av till exempel VR krävs det att forskare publicerar sina resultat i open access tidskrifter.,Anna Åkerfeldt,Stockholms kommun,Lärosäte,2018-09-19 14:57,,anna-akerfeldt-2,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"Jag tror på nätverk i gränssnittet mellan praktik och akademi. Utan några direkta resurser men med mycket glädje och engagemang har vi startat några sådana samarbetsområden på Barn- och ungdomsvetenskapliga Institutionens avdelning för förskoleforskning och förskoledidaktik på SU, såsom till exempel Förskoleakademin, Alumni-nätverk, Förskolesummit, Showtime och Pedagogiska & didaktiska rum. Här kommer länkar till två av dem: 
https://www.buv.su.se/om-oss/evenemang/förskoleakademien/förskoleakademien-2018-förskolan-igår-idag-och-imorgon-1.309877
http://www.forskolesummit.se/",Susanne Kjällander,Stockholms kommun,Lärosäte,2018-09-19 22:44,,susanne_kjallander-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan forskningen bäst stödja digitaliseringen av skolan?,Forskning om digitaliseringen borde på ett tydligt sätt knytas till undervisningspraktiken och sträva efter att få fram material och metoder som på olika sätt kan stödja elevernas lärande i olika ämnen. Mer evidens för vad som fungerar och inte behövs för att bygga en vetenskaplig grund.,Thomas Nygren,Gävle kommun,Lärosäte,2018-09-20 10:21,,thomas_nygren-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan forskningen bäst stödja digitaliseringen av skolan?,Didaktisk forskning bör fokusera mera på förhållningssätt och konsekvenser för hur skolämnen kan förändras till innehåll. Man behöver klargöra på vilket sätt digitala- och analoga världar kan samexistera för undervisning.  Forskning som stödjer lärares pedagogiska innovation är därför viktigt. Det är en forskning som kräver lärares frågeställningar (bottom-up),Lennart Rolandsson,Uppsala kommun,Lärosäte,2018-09-20 10:47,,lero01-3,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"Skapa tydliga samarbeten mellan lärosätten och skolan genom att organisera  strukturerade arbetssätt där både forskargrupper och lärargrupper ingår (t ex Design based research). I nära samarbete mellan forskare och lärare i ""lärarforskarteam"" kan undervisning och interventioner  designas och studeras, Jag har personlig erfarenhet av arbete i ett sådant team där forskare lyfte fram och redogorde för forskningsresultat ifrån tidigare studier och lärare i teamet bidrog med sina yrkeskunskaper och beprövad erfarenhet. Tillsammans skapade vi problemställningar och interventioner. Tanken med att arbeta tillsammans på detta sätt handlar om ett undersökande av ett komplext system (här digitalisering av skolan) som involverar framväxande egenskaper mellan fler variabler än vad som ursprungligen kan vara känt för vare sig lärare eller forskare.  I samarbete kring utbildningsförändring och innovation kan problemställningar formuleras och hänsyn kan tas till subjektiva realiteter hos de involverade, det vill säga lokala sammanhang, relationer och eventuella maktkonfigurationer.",Linnea Stenliden,Norrköpings kommun,Lärosäte,2018-09-20 11:17,,linnea_stenliden-1,,
Rådslag 1 | Fokusområde forskning och uppföljning,Hur kan forskningen bäst stödja digitaliseringen av skolan?,"Finns idag flera projekt under begreppet Citizen science, som öppnar för delaktighet som använder digitaliseringens fördelar för att samla och sprida information om olika samhällsfenomen. Ett annat exempel där digitaliseringen erbjuder delaktighet är Zooniverse där forskare söker hjälp hos den som så önskar bidra med sin tid och engagemang 

En undervisning baserat på modeller där elever upplever delaktighet tror jag kan erbjud ett mervärde för undervisning, och kan därför mötas av intresse av både forskare i didaktik och lärare.",Lennart Rolandsson,Uppsala kommun,Lärosäte,2018-09-18 11:24,,lero01-2,,
Rådslag 1 | Fokusområde forskning och uppföljning,Ordet är fritt,Jag föreslår en satsning även på forskning rörande betydelsen av hur digitalisering (av allt från adm till dokumentation) påverkar vårdnadshavare och dessutom hur den skulle kunna påverkas av vårdnadshavare.,Bim Riddersporre,Malmö kommun,Lärosäte,2018-09-18 09:00,,bim-riddersporre-1,,
Regionalt Rådslag | Skåne,1) Hur kan samhället bidra till en bra och likvärdig utveckling av digital kompetens för alla inom skolväsendet?,"#lång Vilka förväntningar har vi, utgångspunkt behovsrelaterat, vad är styrande? Demokratipespektiv, effektivitetsperspektiv, en förmåga förutom läsa, skriva och räkna. Vi värnar det kompensatoriska uppdraget som skolan har sä att det inte blir marginaliserat.",Venus VoteIT,Stockholms kommun,,2018-09-21 11:33,,venus-7 lång,,
Regionalt Rådslag | Skåne,2) Vilka är de främsta hindren för en bra och likvärdig utveckling av digital kompetens i skolväsendet?,"Vilka är de främsta hindren för en bra likvärdig utveckling av digital kompetens i skolväsendet
Osäkerhet/kompetens/intresse  (bland lärare/ledare/politiker)#Lång#skolverket#skolledning#lärare
Forskningsstöd#lång#universitet
Hög förändringshasighet gällande teknisk utrustning#lång#
Adminstation#medel# regeringen",Mars VoteIT,Stockholms kommun,,2018-09-21 11:45,,mars-1,3/3,3/11
Regionalt Rådslag | Skåne,2) Vilka är de främsta hindren för en bra och likvärdig utveckling av digital kompetens i skolväsendet?,föreslår Styrning och ledning					#lång #Huvudman #Skolledning #Utbildningsdepartement #Kommunpolitiken,Neptunus VoteIT,Stockholms kommun,,2018-09-21 11:47,,huvudman lång utbildningsdepartement skolledning neptunus-1 kommunpolitiken,1/3,3/11
Regionalt Rådslag | Skåne,2) Vilka är de främsta hindren för en bra och likvärdig utveckling av digital kompetens i skolväsendet?,föreslår Tillgång och kompetens				#medel  #Lärarutbildningarna #Lärosäten #Huvudman #Skolledning,Neptunus VoteIT,Stockholms kommun,,2018-09-21 16:38,,medel huvudman lärarutbildningarna skolledning lärosäten neptunus-3,2/3,3/11
Regionalt Rådslag | Skåne,"3) Hur kan samhället bidra till att digitaliseringen av skolväsendet blir likvärdig, gällande både tillgång och användning?",Kompetens,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:28,,jupiter-2,,
Regionalt Rådslag | Skåne,"3) Hur kan samhället bidra till att digitaliseringen av skolväsendet blir likvärdig, gällande både tillgång och användning?",Kommunens ekonomi,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:29,,jupiter-3,3/4,3/11
Regionalt Rådslag | Skåne,"3) Hur kan samhället bidra till att digitaliseringen av skolväsendet blir likvärdig, gällande både tillgång och användning?",Förändringströtthet kopplat till verksamhetstradition och kultur,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:31,,jupiter-4,4/4,3/11
Regionalt Rådslag | Skåne,"3) Hur kan samhället bidra till att digitaliseringen av skolväsendet blir likvärdig, gällande både tillgång och användning?",Praktiknära forskning och ett kravställande från skolväsandet,Jorden VoteIT,Stockholms kommun,,2018-09-21 11:33,,jorden-2,2/4,3/11
Regionalt Rådslag | Skåne,"3) Hur kan samhället bidra till att digitaliseringen av skolväsendet blir likvärdig, gällande både tillgång och användning?","Kompetens- och resurssäkra den likvärdiga digitala utvecklingen. #Medel
#Skolverket #SPSM #Lärarutbildningarna #Huvudman",Jorden VoteIT,Stockholms kommun,,2018-09-21 11:44,,medel huvudman skolverket spsm lärarutbildningarna jorden-3,1/4,3/11
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,Förändringströtthet kopplat till verksamhetskulur och tradition,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:27,,jupiter-1,,
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,föreslår Förändringströtthet kopplat till verksamhetskulur och tradition #Medel,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:35,,medel jupiter-5,,
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,Kommuners ekonomi #Lång,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:36,,jupiter-6 lång,3/5,4/11
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,Bristande kompetens och kunskap #Lång,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:37,,jupiter-7 lång,,
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,föreslår Förändringströtthet kopplat till verksamhetskulur och tradition #Lång,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:39,,lång jupiter-8,5/5,4/11
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,föreslår Bristande kompetens och kunskap #Medel,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:40,,medel jupiter-9,4/5,4/11
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,föreslår Styrning och ledning #lång,Neptunus VoteIT,Stockholms kommun,,2018-09-21 11:48,,neptunus-2 lång,2/5,4/11
Regionalt Rådslag | Skåne,4) Vilka är de främsta hindren för att uppnå likvärdighet gällande användning och tillgång vid digitalisering av skolväsendet?,föreslår Tillgång och kompetens				#medel  #Lärarutbildningarna #Lärosäten #Huvudman #Skolledning,Neptunus VoteIT,Stockholms kommun,,2018-09-21 16:41,,medel huvudman lärarutbildningarna skolledning lärosäten neptunus-4,1/5,4/11
Regionalt Rådslag | Skåne,5) Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolväsendet?,Praktiknära forskning. Kravställning från verksamheterna.,Jorden VoteIT,Stockholms kommun,,2018-09-21 11:29,,jorden-1,,
Regionalt Rådslag | Skåne,5) Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolväsendet?,"#kort Forskningen bör i hög grad utgå ifrån skolväsendets behov, frågor från professionen som handlar om undervisning och lärande.",Venus VoteIT,Stockholms kommun,,2018-09-21 11:31,,kort venus-5,1/2,3/11
Regionalt Rådslag | Skåne,5) Vad är viktigast för att forskning om digitalisering ska göras tillgänglig för skolväsendet?,#lång Viktigt med fokus på formen- begripligt och hanterbart. Företrädesvis sammanställningar och översikter.,Venus VoteIT,Stockholms kommun,,2018-09-21 11:32,,venus-6 lång,2/2,3/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,"föreslår 
#medel Följeforskning av regeringens digitaliseringsstrategin och dess utfall för att ta hand om lärdomarna. För att efterhand korrigera inriktning, avgränsning mm.",Venus VoteIT,Stockholms kommun,,2018-09-21 11:25,,medel venus-1,4/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,"#lång Komparativ forskning, jämförelse mellan liknande nationella ansatser, metastudier och större underlag än praktiknära forskning.",Venus VoteIT,Stockholms kommun,,2018-09-21 11:26,,lång venus-2,5/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,#lång Föra samman olika discipliners forskning kring digitalisering för att anpassa på bästa sätt till kontext skola.,Venus VoteIT,Stockholms kommun,,2018-09-21 11:28,,lång venus-3,3/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,"#kort Tydlig avgränsning av vilken forskning efterfrågar vi, förslagsvis kopplad till digitala resursers stödjande funktion kring lärande. Lärandet och undervisning i fokus.",Venus VoteIT,Stockholms kommun,,2018-09-21 11:29,,kort venus-4,1/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,föreslår gifta skolans digitalisering med näringslivet och resten av samhället #Lång,Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:43,,lång jupiter-10,6/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,"Bidra till att digitaliseringen skapar motivation, lust att lära och därmed ett fördjupat lärande hos barn och elever. #Lång",Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:43,,lång jupiter-11,2/6,5/11
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,"#Regeringen
#Regeringskansliet
#Utbildningsdepartementet
#Näringsdeparatementet
#Svenskt Näringsliv
#Lärosäten
#Kommunpolitiken",Jupiter VoteIT,Stockholms kommun,,2018-09-21 11:46,,svenskt regeringskansliet utbildningsdepartementet näringsdeparatementet regeringen lärosäten kommunpolitiken jupiter-12,,
Regionalt Rådslag | Skåne,6) Hur kan forskningen bäst stödja digitaliseringen av skolväsendet?,Praktiknära forskning sprunget ur behovsinventering från huvudman till verksamhet.,Barbro Börjesson,Kävlinge kommun,Kommun,2018-09-25 13:21,,barbro-borjesson-1,,
Rådslag 1 | Fokusområde Likvärdig tillgång och användning,"1. Digital infrastruktur. Informationsförsörjning, standarder, identitetshantering, informationssäkerhet, etc.",Kravställa att använda open source i större omfattning. Bra exempel skolfederation.,Åsa Eriksson,Västerås kommun,Kommunal huvudman,2018-10-04 10:57,,asameriksson-1,,
Rådslag 1 | Fokusområde Likvärdig tillgång och användning,4. Digitala verktyg och digitala lärresurser,"Jag föreslår
1. att SKL bör anta en läromedelspolicy som använder LIKA-metodiken
2. att kommuner bör anta läromedelspolicies som Stockholms stad har gjort
3. att SKL bör verka för att skolor använder Läromedelskollen som ett verktyg i arbetet med läromedelspolicyn
4. att lärare bör få tillgång till omvärldsbevakning och forskning om digitala läromedel",Rickard Vinde,Stockholms kommun,,2018-10-03 14:52,,rickard-vinde-1,,
Rådslag 1 | Fokusområde Likvärdig tillgång och användning,4. Digitala verktyg och digitala lärresurser,"föreslår 
att SKL på kommunnivå årligen följer upp tillgången av hårdvara och aktuella  läromedel  för att säkra likvärdig tillgång . Viktigt att skilja på lärverktyg, läromedel och lärresurser https://sv.wikipedia.org/wiki/L%C3%A4rverktyg",Åsa Steholt,Malmö kommun,,2018-10-07 19:01,,asa-steholt-1,,
Rådslag 1 | Fokusområde Likvärdig tillgång och användning,5. Användning i undervisning och administration,föreslår ta fram stödmaterial för digital didaktisk design som bygger på TPACK-strukturen,Andreas Hedlund,Skellefteå kommun,,2018-10-07 19:05,,andreas-hedlund-1,,
Rådslag 1 | Fokusområde Digital kompetens för alla i skolväsendet,Fråga 1: Vad innebär strategiskt ledarskap i en digitaliserad skola 2022?,Strategiskt ledarskap 2022 innebär att skolledare har förmåga och kompetens kring strukturerat visions- och målarbete. Färdighet i att vara en god förändringsledare helt enkelt.,Örjan Johansson,Stockholms kommun,Annat företag,2018-10-01 21:51,,orjan-johansson-1,,
